model_type,algorithm,feature_set,n_features,test_accuracy,test_f1_macro,test_f1_weighted,model_path,test_mae,test_rmse,test_r2
classification,svm,f1,12,0.9704142011834319,0.8861040135304779,0.9661636303416156,models/svm_f1_classification.pkl,,,
classification,rf,f1,12,0.9378698224852071,0.7861875236056906,0.9253246317884751,models/rf_f1_classification.pkl,,,
classification,mlp,f1,12,0.9704142011834319,0.9252735435071309,0.9690259628666537,models/mlp_f1_classification.pkl,,,
classification,svm,f2,19,0.9674556213017751,0.8931134625159619,0.9647237554733599,models/svm_f2_classification.pkl,,,
classification,rf,f2,19,0.9526627218934911,0.8213684726142199,0.9426395480385508,models/rf_f2_classification.pkl,,,
classification,mlp,f2,19,0.9822485207100592,0.9508399280061709,0.9825002320173064,models/mlp_f2_classification.pkl,,,
classification,svm,f3,75,0.9674556213017751,0.8635804222285336,0.9622580101246564,models/svm_f3_classification.pkl,,,
classification,rf,f3,75,0.9467455621301775,0.7339645606884058,0.9267818476116971,models/rf_f3_classification.pkl,,,
classification,mlp,f3,75,0.9704142011834319,0.8953952722111242,0.967686103444698,models/mlp_f3_classification.pkl,,,
classification,svm,f4,82,0.9733727810650887,0.9054909819639279,0.9718551896692793,models/svm_f4_classification.pkl,,,
classification,rf,f4,82,0.9585798816568047,0.8259498468848822,0.9485081048354748,models/rf_f4_classification.pkl,,,
classification,mlp,f4,82,0.9644970414201184,0.8467837053166395,0.9615663777340424,models/mlp_f4_classification.pkl,,,
regression,ridge,f1,12,,,,models/ridge_f1_regression.pkl,0.05092176868262656,0.06631058517024827,0.7971741921829594
regression,rf,f1,12,,,,models/rf_f1_regression.pkl,0.03539933650308176,0.04815150740370455,0.8930508669666359
regression,mlp,f1,12,,,,models/mlp_f1_regression.pkl,0.02481818316312285,0.0331798157771161,0.9492185106186051
regression,ridge,f2,19,,,,models/ridge_f2_regression.pkl,0.039107341220525865,0.05321049805220744,0.8693973042027514
regression,rf,f2,19,,,,models/rf_f2_regression.pkl,0.022847264855613097,0.030663158513820232,0.9566298154977738
regression,mlp,f2,19,,,,models/mlp_f2_regression.pkl,0.02420398105181882,0.03142412403855079,0.9544504748099047
regression,ridge,f3,75,,,,models/ridge_f3_regression.pkl,0.028020451029574123,0.03747429390829466,0.9352224660358384
regression,rf,f3,75,,,,models/rf_f3_regression.pkl,0.03560543677468303,0.04935791836533682,0.8876246223624829
regression,mlp,f3,75,,,,models/mlp_f3_regression.pkl,0.02931715444492167,0.039924602551055684,0.9264743798309365
regression,ridge,f4,82,,,,models/ridge_f4_regression.pkl,0.02599427891172092,0.03499653292948718,0.9435053221858817
regression,rf,f4,82,,,,models/rf_f4_regression.pkl,0.022418058181225033,0.030158663465919135,0.9580451980146513
regression,mlp,f4,82,,,,models/mlp_f4_regression.pkl,0.02513379121058692,0.03372177164994554,0.9475460425182728
